Minisector,VER,PER,Fastest
0,301.48541701333335,288.802869557477,VER
1,313.3593136313725,297.0419124705882,VER
2,167.68039756444836,174.62730897537304,PER
3,220.42409039963945,220.67725557460315,PER
4,276.60148574969196,272.92811959680756,VER
5,299.7807020350877,292.4114357493858,VER
6,311.8822200245542,299.0104636471178,VER
7,185.74225458365117,192.56490296739122,PER
8,124.03404157020553,120.29879288464,VER
9,245.7579182107342,245.71287278962754,VER
10,280.55375029333334,282.17910367919796,PER
11,291.51269366602594,291.9615738074074,PER
12,154.34684584195625,159.80042677179165,PER
13,190.27949240434143,183.4793836142863,VER
14,257.59781785396825,253.9940511510722,VER
15,204.23243360005702,212.47828659200002,PER
16,212.77358203608222,217.49330777769356,PER
17,211.5725933425359,218.64297654857143,PER
18,240.43376522221897,238.28883725864068,VER
19,276.13092115087716,272.10746761493914,VER
20,292.29946762105266,289.01754374736845,VER
21,262.28644589914444,272.80592147264036,PER
22,222.21014432463767,233.71959465396824,PER
23,202.8290743637752,203.19028909959232,PER
24,269.45145872,260.3492476857223,VER
25,,278.8749994666667,PER
