Minisector,HAM,TSU,Fastest
0,304.1606330743936,309.61305880242423,TSU
1,146.28869769605777,137.30806758787847,HAM
2,212.72294173175612,208.76801242843675,HAM
3,276.9847508384416,272.34973959715927,HAM
4,313.5411788098927,309.4250284661818,HAM
5,323.8099100612615,311.9215463054375,HAM
6,148.67236482190708,148.95085506888017,TSU
7,247.2873942708265,241.76750700901587,HAM
8,126.93754926055152,112.53249468137004,HAM
9,143.84973257448067,146.92214388642572,TSU
10,268.03624781103423,270.26716936519347,TSU
11,297.7002742209524,298.50081510260867,TSU
12,253.49164271827235,234.64746874069365,HAM
13,153.2459350904423,151.8187014825061,HAM
14,266.944806070876,272.2590272464808,TSU
15,305.9411815478324,308.2869474070527,TSU
16,322.60017941243757,321.5558795437037,HAM
17,332.25564924081635,327.84490044121213,HAM
18,337.35459380000003,332.4939082244156,HAM
19,336.7910739117255,335.97082304265007,HAM
20,226.62892702164814,222.37334399613377,HAM
21,151.03955060381142,158.7098031348747,TSU
22,272.61443117180323,274.8357309438683,TSU
23,309.85940537627704,310.02466459492064,TSU
24,324.7323351089324,324.4731562327273,HAM
25,321.4124992,,HAM
