Minisector,OCO,LAW,Fastest
0,305.78836298410437,308.3658337653231,LAW
1,189.7441202236553,179.28800872615386,OCO
2,113.21109201106499,107.15143637167611,OCO
3,198.50459162698414,200.83366485768994,LAW
4,255.89040554426504,256.30085207325584,LAW
5,282.87232665627704,283.3102023332213,LAW
6,298.3542602722078,298.824034058836,LAW
7,243.08360703003626,238.7829433821888,OCO
8,141.7751215030303,143.5469927438961,LAW
9,224.43678790095237,230.68345139352382,LAW
10,267.8947028761905,267.1751921441976,OCO
11,234.71226546424242,220.038111071809,OCO
12,175.31591434321268,175.2653858057143,OCO
13,108.5513973935951,104.56529196623974,OCO
14,105.56212576634027,104.47439988206568,OCO
15,149.6819592817316,137.61704684656084,OCO
16,105.41269984675415,112.08094617395294,LAW
17,205.18502533614267,204.33729411947843,OCO
18,154.89898414337662,148.28812161324262,OCO
19,147.15591029154584,151.28356486143392,LAW
20,237.73581776962405,241.812803868904,LAW
21,270.3721640616785,273.42253762426185,LAW
22,289.7061454567003,291.62538143666666,LAW
23,299.6634069328254,300.4486029343791,LAW
24,304.37041971536956,304.3460399152941,OCO
25,,306.0,LAW
