Minisector,VER,PER,Fastest
0,296.3139273414588,297.9229166222222,PER
1,286.53168559720893,273.36390631714517,VER
2,185.15905208828434,173.60312965028606,VER
3,212.5828717196215,204.79595248463238,VER
4,226.6097367082061,221.26665567544447,VER
5,267.501999744,265.38386176313844,VER
6,241.66626470127233,224.03244224794815,VER
7,218.7329439681567,215.24745787785506,VER
8,176.55076389523714,166.72984512454957,VER
9,181.6724619168234,178.63288698545003,VER
10,195.23862352623294,186.5475344087748,VER
11,214.11439306285214,213.45474104470608,VER
12,254.80153205365397,242.27791677167434,VER
13,177.10077683810957,171.96718999802118,VER
14,247.07300713863225,246.44687344761905,VER
15,274.9842579748416,272.30277761269843,VER
16,275.6021791527204,267.5616989948718,VER
17,273.0976449391304,261.3399562904067,VER
18,264.26997808992627,246.7418922582058,VER
19,256.55024290652557,248.53009303703706,VER
20,264.8814063370069,261.1768759392744,VER
21,204.93060147099132,193.38743091348007,VER
22,225.7738989043119,227.39218949159712,PER
23,274.46949973333335,273.6608325973333,VER
24,285.2581521623188,290.26476333887086,PER
25,286.0,,VER
