Minisector,VET,PER,Fastest
0,285.40509549559346,283.473072559213,VET
1,304.2627110696869,308.72537465649964,PER
2,299.81416741797705,285.10265144242425,VET
3,172.00605653461201,161.2161991667661,VET
4,116.10401491337133,116.55730332696719,PER
5,244.38524644721525,240.13875932058804,VET
6,300.19752678047155,294.9390309079365,VET
7,321.07299709572305,298.92979267780726,VET
8,160.1484387245068,154.57130224794787,VET
9,142.33645096086468,133.65460767915874,VET
10,251.9361761337389,253.470574046027,PER
11,287.2139697592842,294.3875099382023,PER
12,296.22773304242423,295.75508447109775,VET
13,276.59713897490155,264.37796556160157,VET
14,297.8377410593424,296.87658269895496,VET
15,294.54726131362855,296.58384937329873,PER
16,248.8256373126376,227.80646694614393,VET
17,221.95523115754963,215.17617328358054,VET
18,279.2284940919358,289.20429723003457,PER
19,301.66002723301193,318.63107498826577,PER
20,308.36853837936206,311.8261515873129,PER
21,227.8447056087309,194.55222326967282,VET
22,258.76500848963235,243.92023287169545,VET
23,143.49499787992062,128.1809746043391,VET
24,213.32179020968215,218.57490815823104,PER
25,254.95000106666666,,VET
