Minisector,NOR,VET,Fastest
0,333.67373303371414,302.7381943111111,NOR
1,307.23036063492066,287.3249520395986,NOR
2,168.81771784623433,172.45783527414153,VET
3,196.1457148038095,199.17848409339734,VET
4,225.8916449536083,228.17919007122893,VET
5,265.910333056,269.26084461751805,VET
6,228.93348304828143,227.04944618666667,NOR
7,210.9817922816694,202.1585809857583,NOR
8,160.5659252221084,159.23724088544134,NOR
9,182.43125608382658,180.6013041142857,NOR
10,179.36420697176226,179.71922805469515,VET
11,210.779267149345,208.66743951788894,NOR
12,236.58005027408117,234.28019917864378,NOR
13,167.40485658201078,169.4289340606675,VET
14,251.8578013954755,249.18245037601412,NOR
15,275.34184022222223,274.8885366933998,NOR
16,269.0257403566368,263.7149255991394,NOR
17,259.542468348718,255.06226982904997,NOR
18,251.49677033465142,249.65154275555557,NOR
19,247.6224154469564,248.27569951788408,VET
20,262.6587060214787,262.29285392575457,NOR
21,190.3529824232836,191.3428801710716,VET
22,223.15497338207945,224.28655685793777,VET
23,280.0324022016577,277.236719595427,NOR
24,300.60038837237363,295.48636768500637,NOR
