Minisector,SAI,LEC,Fastest
0,299.1504408324208,287.14641162220744,SAI
1,310.7836472049696,299.06067442756085,SAI
2,160.47183679360387,170.29278265238096,LEC
3,216.73517618286732,216.3780228119779,SAI
4,274.07521903157897,266.46944422312924,SAI
5,298.2727580023236,286.0276316631579,SAI
6,311.714625960215,292.8729364421,SAI
7,179.87085297142858,192.8547425360544,LEC
8,118.65137499802286,119.23103204092345,LEC
9,249.95456365714284,244.5119613315193,SAI
10,293.9494815904435,278.00921202821104,SAI
11,311.2895828740741,291.671990637037,SAI
12,142.40142882169678,153.28548160540942,LEC
13,188.07334164353742,185.9105863782313,SAI
14,255.38985456279656,254.528596298064,SAI
15,204.78466963646227,207.70437724889248,LEC
16,214.3024977989871,214.08423074141243,SAI
17,216.6765591505743,220.92103817100335,LEC
18,240.32047100289856,239.6252977177489,SAI
19,271.35341488120304,271.6021224777192,LEC
20,287.881071734996,289.08128718005315,LEC
21,266.37604513595613,269.54048688312133,LEC
22,228.17798941524,228.39109923630767,LEC
23,201.0748395076923,198.5169219809524,SAI
24,259.93002232263956,258.943174739651,SAI
25,277.9833344,277.75833386666665,SAI
