Minisector,HAM,COL,Fastest
0,311.14873911950195,312.4046229783252,COL
1,323.03232716719765,328.8859792224414,COL
2,325.8968942109373,332.73608513196956,COL
3,293.67420098039366,302.0646193366667,COL
4,162.40802605282073,149.69621185104663,HAM
5,196.44391864067828,191.38287075710457,HAM
6,216.65361249528522,208.48686505221428,HAM
7,256.34020816227314,254.82804735649833,HAM
8,237.62498051090867,228.39330774030879,HAM
9,159.54858087578134,146.28684701401264,HAM
10,203.91565667130794,201.35180859679681,HAM
11,127.02029509581047,114.76188306947593,HAM
12,233.7320390866633,233.31134442870797,HAM
13,176.0043952201929,185.8815867812509,COL
14,203.74358401830975,197.95838042556628,HAM
15,219.29088727191854,213.7041399348748,HAM
16,259.80250739938276,245.9264232018542,HAM
17,294.11905511071035,286.40291650855806,HAM
18,149.1816156230762,144.94554760671454,HAM
19,152.95770623353147,150.56199371037465,HAM
20,136.66697518649337,130.78224762879444,HAM
21,223.07934648377707,216.27560589424277,HAM
22,242.6553171972418,245.1609799452497,COL
23,231.4260543644248,225.9761698565078,HAM
24,282.18476222577203,274.42433518250965,HAM
25,,300.854168,COL
