Minisector,BOT,VER,Fastest
0,265.64967938461535,263.4623161025641,BOT
1,252.6031937241925,242.463494919224,BOT
2,173.24304245283557,168.82945622560072,BOT
3,250.6378558018405,248.84599435282698,BOT
4,276.6744790920635,271.99168525071246,BOT
5,193.44096944021908,189.69254587851788,BOT
6,127.19294244277317,123.17801765773167,BOT
7,165.55943307515858,158.44067043857814,BOT
8,262.6650395704632,257.7945480044403,BOT
9,183.6830368,180.45584116138997,BOT
10,189.6496733742095,186.1696618186334,BOT
11,260.6853807725714,256.57983045860806,BOT
12,242.3147903916975,238.63762371160496,BOT
13,263.31480924038095,260.03990334358974,BOT
14,288.1408014041805,284.5840601569341,BOT
15,287.03083997083354,280.0756961777778,BOT
16,156.31470287539085,149.92857688842983,BOT
17,245.66040489876542,238.81133021798942,BOT
18,288.29249054545903,283.64446931451135,BOT
19,300.2033530801674,295.788945538322,BOT
20,305.00795447272725,300.3962731130435,BOT
21,308.75122751304775,306.2785032602484,BOT
22,152.40457895196297,149.4790767779894,BOT
23,98.35445079555426,92.44210671988215,BOT
24,184.89509012683752,185.02393944126982,VER
25,246.16418138561,,BOT
