Minisector,PER,SAI,Fastest
0,291.7931874806187,300.43476364914716,SAI
1,309.6771931508772,319.8289057997321,SAI
2,317.45424389135803,327.5394736280702,SAI
3,311.663389677586,324.0580829433584,SAI
4,198.05638774349205,189.94515432443498,PER
5,220.45585602065154,228.41607874645598,SAI
6,265.6707819064182,271.4781331177832,SAI
7,270.4123099151515,264.97878136084023,PER
8,197.5243069534097,192.29635287505383,PER
9,161.83485690800026,149.2570813246583,PER
10,181.25188910833333,195.28062682516475,SAI
11,256.2660260980115,263.4897252586755,SAI
12,252.49888035352382,243.41354250726332,PER
13,233.56673600000002,232.25918135814766,PER
14,272.23185247410197,275.34223112668684,SAI
15,177.56033995319726,171.44589926383526,PER
16,221.10334087082717,223.0364232226328,SAI
17,247.5640906002384,243.16877467491483,PER
18,137.40691553280524,138.82577389293309,SAI
19,241.1919133979145,249.11222051072755,SAI
20,277.8620750157224,283.94039818535464,SAI
21,256.00819737613523,241.38550473145648,PER
22,148.80436482902493,144.60556571937977,PER
23,213.17499956721784,217.89587996113292,SAI
24,269.78884204611524,275.99532358756113,SAI
