Minisector,GAS,SAI,Fastest
0,273.6565886489591,274.76273706666666,SAI
1,298.37691579469333,299.39570469580315,SAI
2,309.98823504313725,312.15964603876796,SAI
3,316.2509802039216,319.0323526901961,SAI
4,320.2401960336134,323.8026040666667,SAI
5,321.0041669019608,324.80809927139717,SAI
6,210.05469160834983,210.83500479999998,SAI
7,108.71982469054171,108.77952082376194,SAI
8,183.8314342559291,186.3998133282555,SAI
9,263.99636396158706,262.7724029268582,GAS
10,291.6379381894737,291.79014473650795,SAI
11,170.39950670981005,174.79508594644935,SAI
12,98.12008511858693,98.83683996944379,SAI
13,116.06462531906068,117.01847703188405,SAI
14,221.54230697002683,223.62743097777778,SAI
15,188.1714283809524,186.40091333877552,GAS
16,224.59983665764491,232.50252375389238,SAI
17,181.30281800126983,180.8077385853968,GAS
18,241.3590965128022,239.030680187013,GAS
19,281.8323300170426,279.10006537989415,GAS
20,250.72058016507938,254.32191976450216,SAI
21,145.85522701154468,146.25923800512342,SAI
22,97.92724274157483,97.01830904646077,GAS
23,125.64913465770543,128.73838995051347,SAI
24,224.27300562893984,230.19622834920634,SAI
25,257.24999679999996,,GAS
