Minisector,LEC,PIA,Fastest
0,250.52169986888887,246.80929661887447,LEC
1,286.2675604076872,283.29665811266955,LEC
2,182.7975978692789,178.7978626030001,LEC
3,162.28640765928608,148.41656446677385,LEC
4,257.4765884639318,255.5375054326702,LEC
5,272.44682827580954,271.99711893809524,LEC
6,234.1672028383067,240.25507352845574,PIA
7,217.59335405714288,209.08538283783136,LEC
8,162.3837270749655,168.86105863234474,PIA
9,217.24061318179895,218.74579607450798,PIA
10,273.93532564343593,271.4584518191746,LEC
11,125.26487178738941,130.04702827567402,PIA
12,207.91877574357963,208.0811969439242,PIA
13,273.90224910506663,273.751235001068,LEC
14,299.1780549688889,297.15922988910825,LEC
15,310.06020474828284,308.0483744692953,LEC
16,256.90894552673967,242.5206871445177,LEC
17,130.67663945459765,129.70063127187055,LEC
18,132.50290015740782,131.34922870233592,LEC
19,124.79085068484869,123.67533284317369,LEC
20,220.0177989272193,226.94229672058088,PIA
21,253.4903732104258,261.2173759860747,PIA
22,243.83448660483515,235.08965396345678,LEC
23,217.03220010111923,220.65273319068467,PIA
24,138.74016603177228,138.41411249120222,LEC
25,,216.5499989333333,PIA
