Minisector,RIC,STR,Fastest
0,259.6007450732198,259.9448588441742,STR
1,134.24075709410226,128.07724064409172,RIC
2,266.68817613063936,266.5589543605208,RIC
3,308.55227448163265,306.3122363919022,RIC
4,307.11320810506777,304.6444170906911,RIC
5,314.7969135407407,313.6426443359093,RIC
6,320.3854356290268,319.30272444102565,RIC
7,319.0748845233057,318.78659749251955,RIC
8,199.33611779346631,185.9924751409485,RIC
9,200.24596849475682,195.22016923007612,RIC
10,182.84994605622103,175.7447978736718,RIC
11,167.99915695125796,166.51464375835891,RIC
12,254.0691193950655,258.23975575669226,STR
13,274.19363372235085,281.3895924378354,STR
14,277.1569958000481,281.130684444782,STR
15,272.3061206187657,265.6995579198818,RIC
16,189.93786569476592,183.7892904471961,RIC
17,196.53783074231535,188.45620709470447,RIC
18,246.23616130372966,241.77099144660022,RIC
19,290.8038192266667,288.8637388986257,RIC
20,313.4222731241308,311.9694096359557,RIC
21,320.3441358222222,318.57554369917773,RIC
22,317.99352746080876,317.504597737931,RIC
23,264.6329544219336,226.41027056682296,RIC
24,116.19031692346978,115.49396221060258,RIC
