Minisector,OCO,SAI,Fastest
0,267.1841107287267,270.69985987465424,SAI
1,286.81421973333335,290.5658964526611,SAI
2,292.6666676210526,298.8521382163261,SAI
3,124.13723919817181,123.2010467658935,OCO
4,191.3188164361059,191.57715745185183,SAI
5,251.3786024607108,254.5928678235818,SAI
6,137.70993014041363,138.94082597726535,SAI
7,201.1599463108949,200.66738692728785,OCO
8,256.28333280000004,257.1785705650794,SAI
9,274.9911194395665,278.85581157427913,SAI
10,235.7759120608195,231.5991064222011,OCO
11,178.69218984889847,179.6165674491651,SAI
12,188.13244700738528,191.97534571168066,SAI
13,151.77693725031367,147.26549301445584,OCO
14,179.64859114217572,175.98634830131368,OCO
15,161.47523158009744,162.78287560258667,SAI
16,213.75129964016207,215.12033430362624,SAI
17,230.5413787055885,231.04990162917338,SAI
18,232.69063018408656,236.87563681135626,SAI
19,239.35985037575756,239.5113662060606,SAI
20,142.44366577234928,139.16747385530928,OCO
21,132.66349102199425,134.04772173308965,SAI
22,167.34954927546434,169.80729302927074,SAI
23,148.6734490695178,145.32732630107614,OCO
24,223.74999795555553,224.88560912960665,SAI
25,253.14999893333334,257.02083200000004,SAI
