Minisector,OCO,GAS,Fastest
0,232.92873604463855,235.92100173249108,GAS
1,282.28750026666665,283.5285947211303,GAS
2,299.5212227982587,297.61133329066666,OCO
3,304.93124995555553,305.12961314920636,GAS
4,262.266780828196,269.6795195625737,GAS
5,164.80800516589147,167.92222716219513,GAS
6,261.7479775746201,263.6710287637355,GAS
7,282.52147442051285,281.79980800237826,OCO
8,205.3473235449375,216.78197597045695,GAS
9,218.06119585280317,222.35351880948394,GAS
10,179.49614528,185.58678157432337,GAS
11,225.10199669563278,229.4381002419751,GAS
12,201.18518459259258,202.38600249296877,GAS
13,204.2849350448335,211.6683360184668,GAS
14,218.03666671935613,224.82600217514454,GAS
15,176.88267234285715,181.8291600596703,GAS
16,245.7457190694253,251.02969413034074,GAS
17,287.51744543296707,288.2633335466667,GAS
18,301.4521739594203,301.1719202318841,OCO
19,287.8867511794872,290.4702461733732,GAS
20,126.51986700951633,127.91703827775197,GAS
21,153.50995854707512,161.49410487793807,GAS
22,148.63100331601674,150.74335661318378,GAS
23,196.15333636727593,200.82634519769695,GAS
24,146.4803800645294,147.41416637535937,GAS
