Minisector,NOR,PER,Fastest
0,278.237145778319,278.2479857747879,PER
1,297.02377498744124,296.63614743088027,NOR
2,234.4652011976014,233.47430831758288,NOR
3,109.63735250177525,109.04536906913991,NOR
4,124.2532853581793,127.47064641922469,PER
5,250.01943440871963,246.82786069760002,NOR
6,241.0152542464469,241.55825534110923,PER
7,121.59979570197522,118.77636863966318,NOR
8,244.9703897020586,247.63331550234815,PER
9,251.09633181153146,256.9170765701587,PER
10,208.00731195588244,203.99820452689357,NOR
11,131.97536252901403,138.0184475191064,PER
12,205.97917232722833,199.77692013110212,NOR
13,259.6738572621,260.33386750720246,PER
14,111.62951542245705,109.3652836868496,NOR
15,186.5264134000205,179.52338971649831,NOR
16,257.0028712780424,252.1863807728538,NOR
17,288.53783356395604,286.9038509152183,NOR
18,302.8263951879061,301.3877822326251,NOR
19,308.14640359017545,318.88745570857145,PER
20,309.31593756,328.55268157547084,PER
21,157.86645354409288,168.5601612766726,PER
22,143.4687728202919,135.56318448532258,NOR
23,191.03903491444314,193.43189997504268,PER
24,233.88070164540966,233.49631178460692,NOR
25,,270.0916679111111,PER
