Minisector,LAW,LIN,Fastest
0,295.7699415047873,298.29430525139117,LIN
1,148.0673919912557,147.80362158132345,LAW
2,215.66682981251478,216.7666972521739,LIN
3,288.09548685920157,285.1151402766123,LAW
4,314.17998846003655,318.2293171968298,LIN
5,312.99777271725253,318.67460219272726,LIN
6,168.56938794164398,184.44554723102038,LIN
7,125.65282159907699,116.74968935663206,LAW
8,253.15233362050358,255.5092616730688,LIN
9,296.18546870349377,296.9132533034091,LIN
10,298.1980744949495,301.7112557185434,LIN
11,132.49364781830855,135.5445993540908,LIN
12,179.4088622906964,171.21434100126984,LAW
13,250.3329030927636,244.82907283446175,LAW
14,179.03561009926233,178.15851620719053,LAW
15,201.05359647324136,187.83140400872847,LAW
16,190.53311526155633,190.6496133168806,LIN
17,227.63710352471654,228.81375748927002,LIN
18,277.47751461988304,279.15657645850564,LIN
19,294.0,297.7033317927273,LIN
20,240.11287619290542,236.83621516949754,LAW
21,195.09935860731497,194.79998257143117,LAW
22,181.1910286811158,186.62518592527474,LIN
23,264.8229282145432,270.3867049344775,LIN
24,299.5534723259259,305.1754969939394,LIN
