Minisector,VER,TSU,Fastest
0,247.90206491257084,246.83975486802723,VER
1,280.8165631006211,282.278638620828,TSU
2,193.11311157849673,181.71821061783416,VER
3,152.31039570001292,153.3770994311819,TSU
4,258.8199071604938,259.49097227318396,TSU
5,268.4036856485696,262.0906517107584,VER
6,223.77763914666667,209.85602852066145,VER
7,195.3450229827991,183.53710832681705,VER
8,151.34589595154222,150.90627394345074,VER
9,209.57217197619048,209.5019195112085,VER
10,274.9448333482667,274.6916672,VER
11,127.09583409382715,119.67132562008618,VER
12,202.4861101381818,208.38531695180893,TSU
13,268.4737178666667,272.03438162285715,TSU
14,287.056965543437,291.665645333704,TSU
15,294.580303030303,298.9347223111111,TSU
16,256.14806301092324,227.39261411555557,VER
17,134.89728418935775,128.42119141372294,VER
18,129.25690242344322,128.69508640375378,VER
19,121.36456669528445,117.47430827234868,VER
20,223.87590443367682,226.51075325765595,TSU
21,256.71739865387144,253.9054020740741,VER
22,245.26717740408162,225.51860243715757,VER
23,224.3432066608055,210.79739436190476,VER
24,138.73034992691638,135.28494835828684,VER
25,206.0,,VER
