Minisector,VET,NOR,Fastest
0,258.3620213424225,259.2282404345679,NOR
1,224.00591566451615,234.89867658175325,NOR
2,143.12053329619067,148.47121011318671,NOR
3,240.79323892789117,244.41107420341567,NOR
4,270.05471066174704,268.79816661333336,VET
5,181.84850924684685,186.51505090956022,NOR
6,98.38480412894181,102.17735000829545,NOR
7,133.45112823479107,136.38255369039086,NOR
8,247.86990255824654,248.79465094379756,NOR
9,169.21052359859297,173.56013451209094,NOR
10,181.76800072099422,188.36585525014107,NOR
11,252.09341684627762,256.32489305982904,NOR
12,235.55208342857142,250.73481437377717,NOR
13,256.3821808924276,266.3139999146667,NOR
14,278.92789815652174,284.42688949137886,NOR
15,275.49950237866665,285.6538201777778,NOR
16,138.9142322962225,150.23871720771447,NOR
17,233.4971306694828,236.88876100492362,NOR
18,277.15344139130434,277.0002406153769,VET
19,286.3624999884058,286.8586318671911,NOR
20,289.20961798222226,289.0776656099379,VET
21,294.04242424242426,291.11439393939395,VET
22,150.2025963996681,152.6358498088758,NOR
23,81.45244819756738,84.64598604309542,NOR
24,165.34307497895534,173.15891298070818,NOR
25,240.7874976,,VET
