Minisector,PER,NOR,Fastest
0,255.34620338424608,257.0127455517661,NOR
1,202.89763890883842,198.6750825713069,PER
2,219.06806743824274,222.1297981537263,NOR
3,262.24176055931383,261.7607975203701,PER
4,276.51494147704693,272.58480082139056,PER
5,218.13863036893432,212.92360982344516,PER
6,96.7030687912958,90.43976833820774,PER
7,183.47883317409554,193.76594588384484,NOR
8,271.20181316959355,272.9269498680154,NOR
9,296.20443402832564,294.9742034444922,PER
10,307.7874821456368,303.90995923607323,PER
11,305.43938157472087,302.3847204977778,PER
12,109.99415889650402,107.82129855856739,PER
13,215.74586899780795,222.24567210957682,NOR
14,278.3764042369592,280.6431662402872,NOR
15,300.36967405714284,299.16308281278424,PER
16,214.48046212219168,220.58437499535873,NOR
17,121.21467816700363,120.317443409247,PER
18,149.76658506301052,150.24812153088925,NOR
19,256.80032229641057,250.4929455736039,PER
20,149.70893224784913,152.1486207046798,NOR
21,127.36450944175816,126.56590379860079,PER
22,203.87460242358569,202.8411219614117,PER
23,193.7968334547719,198.38989093996392,NOR
24,158.91890290730166,161.48346309902036,NOR
25,228.60251029890938,,PER
