Minisector,LEC,RUS,Fastest
0,276.99634252506513,278.0862911631221,RUS
1,285.08151501284846,292.2957573947805,RUS
2,269.7971676823147,275.82296282909095,RUS
3,177.35005489768838,162.63376448296003,LEC
4,115.82489398728136,112.5096786649018,LEC
5,245.72470520353247,243.94814520817772,LEC
6,298.22889610419196,293.6654562574634,LEC
7,309.6603219690816,296.57479907214724,LEC
8,171.71236276437773,170.05325292925752,LEC
9,136.77714896427383,133.64231490002177,LEC
10,248.93455670457394,254.50193493501223,RUS
11,283.83058954118746,292.939840296353,RUS
12,288.85932533038743,293.25016321091465,RUS
13,275.4594550739927,276.58599506981363,RUS
14,287.86121281626913,290.23741319947874,RUS
15,279.6569723926833,282.67618699364516,RUS
16,243.69662638134383,240.00442614627303,LEC
17,219.00511668215182,222.80438661762406,RUS
18,285.00882364275134,282.7943443650794,LEC
19,309.4372223573333,304.66994704448587,LEC
20,306.0085381721553,301.59751619530823,LEC
21,225.89277037641725,235.33978933634074,RUS
22,235.07223021824822,232.3608654157295,LEC
23,134.76579288699762,134.9017540194843,RUS
24,206.93835505913123,206.78241279284774,LEC
25,,259.5750016,RUS
