Minisector,HAM,GAS,Fastest
0,253.61641978344502,260.07992682041584,GAS
1,134.9093545247272,133.8301186252415,HAM
2,200.3838721445213,198.24884321185183,HAM
3,244.34527568007326,244.80516626694364,GAS
4,255.35758706089752,260.92454875930446,GAS
5,178.65354805789852,183.5162043280922,GAS
6,147.34201111607183,151.03673660301402,GAS
7,180.18938939850307,189.5786625954246,GAS
8,99.92128401715645,106.51034093675575,GAS
9,72.76568897843995,77.5245081030543,GAS
10,93.2467291764812,97.53906338288995,GAS
11,184.04675234132475,185.53902081204464,GAS
12,242.9797440003734,244.1138521943801,GAS
13,264.1797096354947,265.67684840869475,GAS
14,271.8241764336996,278.56726919797387,GAS
15,112.73944626830789,121.10980029274215,GAS
16,149.03730064975923,149.27762160313432,GAS
17,189.75112026161088,189.64868429473685,HAM
18,199.40390009172972,197.51080442300386,HAM
19,207.6288517019608,211.45506138459984,GAS
20,138.0067323026819,138.29664174633632,GAS
21,114.11255011873516,118.43540654878888,GAS
22,94.44947913419637,97.36720606668854,GAS
23,195.8916623589449,196.70968616240782,GAS
24,247.75485086364344,248.40126762325812,GAS
25,,261.23333333333335,GAS
