Minisector,RUS,HUL,Fastest
0,281.42370998973036,284.7046892946503,HUL
1,122.0071877828362,117.55378486639898,RUS
2,163.71290897833507,159.19244738058663,RUS
3,218.96055937163638,214.6617374758586,RUS
4,170.7699627798121,166.8184155570487,RUS
5,243.22120613614038,243.06185399883734,RUS
6,226.98172207790273,218.2612421424762,RUS
7,135.09962114233826,132.1416129627296,RUS
8,226.8184791109433,232.78863529177488,HUL
9,276.31138569222225,275.49601959654996,RUS
10,292.002695852344,288.6806880919651,RUS
11,166.2604415893651,157.38599484633002,RUS
12,217.05824447016553,213.99818478200817,RUS
13,268.5969814689216,271.96177306582007,HUL
14,276.72672102233764,270.4341399740464,RUS
15,102.56363732996569,99.5838600288789,RUS
16,201.90321145697723,211.20365238639226,HUL
17,270.9638218186147,268.21196561775514,RUS
18,291.20672294184874,291.5848311774815,HUL
19,303.44689481981266,301.088842921721,RUS
20,308.3972222273016,308.1610432314256,RUS
21,286.77759115670995,296.73857632,HUL
22,157.47166676667763,158.46620535695016,HUL
23,235.93812226285715,223.9114944189874,RUS
24,275.29834235050515,272.3489001309091,RUS
25,287.88500096,287.37666688,RUS
