Minisector,LIN,COL,Fastest
0,320.5355003984282,312.4046229783252,LIN
1,346.64175545655104,328.74227440852485,LIN
2,351.8343809097143,332.6301767756708,LIN
3,325.11290267363836,302.0646193366667,LIN
4,147.1872765909461,149.69621185104663,COL
5,177.02184774600525,191.521157832815,COL
6,206.91260399991984,205.12986501381428,LIN
7,256.6792736458432,252.74936127681667,LIN
8,245.47961335749932,236.29213873833964,LIN
9,144.2500985179663,144.0743637361748,LIN
10,205.4096808308463,205.06995770448913,LIN
11,120.54177945341343,114.38939677904312,LIN
12,226.17889062481126,228.8990274662655,COL
13,164.14497496356145,196.46904167369868,COL
14,202.19866248383252,188.04800030811643,LIN
15,211.30047215013195,215.80934438853927,COL
16,252.07481686426527,239.07052448490091,LIN
17,290.4722897741633,284.67140351337076,LIN
18,142.71865471331398,156.76869614951642,COL
19,149.40637477255876,142.5099396480131,LIN
20,125.71453603675792,130.19601170386923,COL
21,214.1185546766856,209.22700815782656,LIN
22,250.1011092770585,243.9518893852497,LIN
23,225.69780292521617,225.6142130518701,LIN
24,279.47541783411253,267.3860134874199,LIN
25,,298.7169387267985,COL
