Minisector,STR,KVY,Fastest
0,297.8149891590329,311.47388949333333,KVY
1,306.8290818612245,325.8792291185298,KVY
2,312.7625001025641,334.7996795897436,KVY
3,313.6955782965987,334.578621031746,KVY
4,203.30725846511524,183.68008223492063,STR
5,94.57309253333334,95.61989408698614,KVY
6,196.36272777437037,202.73086879235734,KVY
7,254.901226227451,261.2803601793876,KVY
8,282.708334,295.4538892088889,KVY
9,286.5452504910441,298.54813227933914,KVY
10,149.54688795202821,143.2762911693796,STR
11,166.9013466588268,172.32518580462553,KVY
12,239.99019708235295,240.57069430140055,KVY
13,242.93200883809524,230.86654010639688,STR
14,147.41515867543347,143.7174258904315,STR
15,205.08174775873016,211.32162437819838,KVY
16,258.7328877714286,261.59877477647063,KVY
17,282.2589367511235,285.0510999661129,KVY
18,295.64920663365075,295.6818454095238,KVY
19,299.6997221688889,300.50236816330727,KVY
20,284.95838081652346,270.2560998412698,STR
21,147.86758580603873,142.79167819528763,STR
22,201.81468464761903,212.0156259352381,KVY
23,257.7928615093756,263.8062275419921,KVY
24,284.7636120888889,292.9711118222222,KVY
