Minisector,ALO,LEC,Fastest
0,273.1720196176532,273.94688672422393,LEC
1,233.65776018919178,225.2189235360587,ALO
2,119.85505748460132,113.3412010585356,ALO
3,190.7453597838497,191.8304613865407,LEC
4,185.2807028687442,181.826568792566,ALO
5,216.03143283977792,219.540881001664,LEC
6,271.4082646437665,275.8376527581535,LEC
7,286.78609023580026,292.0844495157776,LEC
8,189.4810245950227,177.87414064693823,ALO
9,135.1773368077034,133.18050250723417,ALO
10,138.52384680235707,134.5959989275754,ALO
11,190.68766228916616,187.22844138670266,ALO
12,232.0152379230768,221.36681298079574,ALO
13,138.4363656247907,132.8913027779192,ALO
14,163.47306792493723,153.75597777099634,ALO
15,122.58762241898927,123.40005492315609,LEC
16,250.48835715258022,253.64693799183672,LEC
17,149.5079763192505,147.06123732946244,ALO
18,195.41350143459172,198.80199568945827,LEC
19,142.72591313721566,134.2317970826373,ALO
20,151.8842945269321,148.64828062144758,ALO
21,129.48185085519475,125.7603201001628,ALO
22,144.8674131284707,147.21210439866445,LEC
23,223.94409284038602,215.69565058247025,ALO
24,236.49171718508626,228.10206424545578,ALO
