Minisector,VER,TSU,Fastest
0,259.39958836205545,254.01202240815462,VER
1,134.52099896189628,134.89304473936508,TSU
2,200.19395588871575,201.41626872898922,TSU
3,246.02512751496997,245.68591289227513,VER
4,259.736317767033,256.37511427918366,VER
5,190.00827792280703,179.54631660003798,VER
6,154.49279685741212,149.6344956289293,VER
7,186.8268386147186,193.22740739047617,TSU
8,105.73885766838427,105.81564459024271,TSU
9,74.64801060686439,73.78870596771736,VER
10,98.01278466878898,98.86841915044862,TSU
11,183.93744093000754,181.59009404349376,VER
12,241.3054778951474,241.89079864161724,TSU
13,256.5266749212314,264.4061114666667,TSU
14,267.6604163733333,275.6762470791177,TSU
15,116.06112755810288,106.66280044936049,VER
16,144.40168874624504,153.8894127574651,TSU
17,191.21562313757727,180.54205741155556,VER
18,203.62960703152666,200.72226162554006,VER
19,216.35024448358544,202.656150412549,VER
20,137.23649850929394,142.27744625646497,TSU
21,115.83193796825397,102.80431357488537,VER
22,97.80530618017454,101.75394866126936,TSU
23,200.562920255014,200.876362976,TSU
24,250.16352301048067,249.43192556960318,VER
