Minisector,OCO,GAS,Fastest
0,300.00987658271606,293.61216931216927,OCO
1,239.21403236017315,235.8629892392157,OCO
2,130.74660131781877,132.65431335672514,GAS
3,235.61884802288395,240.46600787142856,GAS
4,193.53536355555556,194.43385424000002,GAS
5,250.309479752694,243.41817554251895,OCO
6,234.54966301525633,231.1047797102453,OCO
7,259.3764072636518,252.31182576253968,OCO
8,283.4247598237883,282.04204111798566,OCO
9,209.39528994190346,208.62522427387387,OCO
10,205.56907508795135,206.6789327685043,GAS
11,265.6110517079365,266.6093113469388,GAS
12,217.67831280850547,212.38337154253333,OCO
13,249.4768464927106,249.23559968189898,OCO
14,288.54249367190755,286.5992098787384,OCO
15,299.49666666666667,296.8602564102564,OCO
16,295.07100723230036,292.04047234405994,OCO
17,246.41692676666668,239.20584047142856,OCO
18,269.55058773350834,268.04999820842727,OCO
19,294.94727573333336,292.7498397948718,OCO
20,300.4004998826667,296.6612641096325,OCO
21,292.5429328122649,288.45817896296296,OCO
22,153.41954437039954,156.31076477864866,GAS
23,234.53916253067604,237.61770271718004,GAS
24,284.3407071472698,285.75555567407406,GAS
