Minisector,GAS,RAI,Fastest
0,291.2733530997486,288.7345348011093,GAS
1,291.3687514,291.2071247091154,GAS
2,155.43733067254672,157.29858570489893,RAI
3,228.98408373116027,227.26626804789015,GAS
4,282.6272381632078,273.42578832673956,GAS
5,306.3476893318778,292.73939270747366,GAS
6,316.3771175069232,296.9057706026388,GAS
7,150.9514983294318,157.1278026231429,RAI
8,141.5570495838964,140.29674531621,GAS
9,251.35309012212633,250.6214811336789,GAS
10,282.1341968239217,282.69932324571346,RAI
11,288.0756609821342,293.6979166666667,RAI
12,141.77606585630244,149.19857131294617,RAI
13,200.8574843074707,196.45038237826074,GAS
14,251.3040265805832,255.6132077351212,RAI
15,199.52186129843622,196.03644933220244,GAS
16,223.314398146909,216.62123088768863,GAS
17,215.08047242801712,206.15950607403312,GAS
18,248.0913882596297,243.91865354056617,GAS
19,276.8324254963461,274.64440063621754,GAS
20,292.7210565428571,290.4170992277373,GAS
21,253.69559822756295,257.9600672655084,RAI
22,219.2133542359553,224.34625148661056,RAI
23,210.83840404170041,202.29075393106163,GAS
24,265.71658360088713,260.76699781971604,GAS
25,,279.3833333333333,RAI
