Minisector,VER,BOR,Fastest
0,243.40965125587303,244.4627128877598,BOR
1,139.7420807821131,136.56417836037414,VER
2,280.0404319040353,271.808323446127,VER
3,308.8107269164886,305.3099699149209,VER
4,286.43489622888416,290.97135067715936,BOR
5,315.3098398874074,308.5010425458577,VER
6,321.4435557861696,308.33539638435303,VER
7,313.4829764796537,306.54646013816875,VER
8,198.11539905896467,204.62120359040924,BOR
9,192.7685652517203,186.78011845010124,VER
10,178.81326336669588,186.54189113742802,BOR
11,169.79031568843098,171.1227933154809,BOR
12,240.82504665259887,240.08634606160936,VER
13,258.110362356934,262.13194569336963,BOR
14,267.5723391107175,263.4990138951111,VER
15,247.09811303761083,261.6072664095733,BOR
16,177.73982889108996,175.90714994975502,VER
17,188.81525902356154,187.7348507078544,VER
18,234.80864196158268,235.92714217904762,BOR
19,291.40059285314567,283.6483712148067,VER
20,319.14155053592253,311.2878239458201,VER
21,303.654763658746,294.2912380514891,VER
22,280.2148214728192,275.72950369006173,VER
23,243.9859483534808,252.4606601653049,BOR
24,122.82858746015414,118.0298421627439,VER
25,,218.1956978725926,BOR
