Minisector,LEC,BOT,Fastest
0,257.91155795141253,259.4783976120412,BOT
1,211.34444728352406,213.9617801717655,BOT
2,223.57552023208427,226.27815879412563,BOT
3,263.15517630807454,263.58132107595145,BOT
4,278.840550367033,276.14176223384123,LEC
5,231.47932304120383,223.35402905143056,LEC
6,98.32162249759031,98.63722102801293,BOT
7,188.24145866614813,186.07926995997812,LEC
8,270.2433044651504,272.2631409411209,BOT
9,292.0132991863012,296.2348733251718,BOT
10,300.2738866564936,304.5284022456161,BOT
11,297.85687490738,306.07894736842104,BOT
12,113.94824672298043,110.86992876448794,LEC
13,216.31276372190834,216.61817101130146,BOT
14,276.89882766128295,284.8707757544573,BOT
15,295.4507936507937,311.22063806779465,BOT
16,226.06669275874174,243.4805427589028,BOT
17,126.42363562616394,128.4656989273538,BOT
18,154.86491223582374,160.4148499465324,BOT
19,254.67126591307834,254.82008631348899,BOT
20,160.6208792271898,167.76061811944192,BOT
21,129.42799888289522,133.02424208325345,BOT
22,208.14306997313764,201.048004885588,LEC
23,213.2188751563909,213.88529837570587,BOT
24,167.4907451382419,168.95552846614106,BOT
25,232.41666666666666,230.24722346666667,LEC
