Minisector,HAM,MAG,Fastest
0,289.6525622177417,301.90717949307793,MAG
1,301.1042590035693,319.7908856,MAG
2,307.2207214463325,328.82307184782337,MAG
3,309.0683174677555,329.41893596190477,MAG
4,181.8833228005788,165.4460521379686,HAM
5,220.33622258325784,201.6757055723257,HAM
6,244.8087646984067,238.89444008600753,HAM
7,268.5934857058201,262.5386063966728,HAM
8,272.289271687105,278.766353433263,MAG
9,167.38442936512203,164.43131552099797,HAM
10,233.12148498478433,225.17303662667,HAM
11,145.24433920272176,142.33200323842584,HAM
12,224.73103364809793,212.30885776761406,HAM
13,205.0212854940818,214.01626948939347,MAG
14,213.81694803009614,204.83895215235495,HAM
15,246.49982717167345,248.9242547711956,MAG
16,260.5763168341244,254.47867295950704,HAM
17,284.7989463363651,280.5909110356179,HAM
18,147.37171464486732,168.56769011748835,MAG
19,159.46250554992326,146.52568116893892,HAM
20,150.9988497913647,143.09540851937572,HAM
21,170.06077573787235,174.4124006994862,MAG
22,121.23228875515468,117.92230769323764,HAM
23,222.849425805403,213.57338583780117,HAM
24,274.58543984014545,267.12591731243265,HAM
25,,281.2555548444445,MAG
