Minisector,ALO,ZHO,Fastest
0,304.8043759254914,285.41167114848486,ALO
1,323.2429436052389,294.44905525472063,ALO
2,325.52647566666667,298.34288356923076,ALO
3,318.29361961666666,294.8105368737866,ALO
4,159.88106293051146,166.68033662634832,ZHO
5,203.08744086849285,199.36444111596248,ALO
6,239.5199768490775,225.01387147470408,ALO
7,264.33988865336676,256.756945487756,ALO
8,245.53839771015714,249.15352945973146,ZHO
9,155.8971787612165,159.34255703285714,ZHO
10,222.9287022509266,224.08448190049492,ZHO
11,124.65365595404292,128.66082126915757,ZHO
12,225.3327790968889,223.57372023458228,ALO
13,177.3883333726364,178.166528935602,ZHO
14,213.69360934338164,210.0301774191544,ALO
15,236.47998461832756,233.91114363705628,ALO
16,262.6250009896296,256.20491931605795,ALO
17,292.7033241769697,279.19934632082163,ALO
18,153.2441285637132,153.08011634455025,ALO
19,159.29015274141994,160.71747745572966,ZHO
20,137.294790381244,141.49195416124445,ZHO
21,230.19799535416013,223.85562566714086,ALO
22,259.426373333868,252.86482982399997,ALO
23,247.70835519445885,237.12890944521305,ALO
24,276.77632677272726,266.1584074980263,ALO
25,293.3875008,278.3,ALO
