Minisector,RAI,LEC,Fastest
0,292.7536416717087,287.94632445490197,RAI
1,127.19251673138412,124.54855191436475,RAI
2,161.4466203296163,162.48960471814394,LEC
3,219.4104203460807,216.0029123243114,RAI
4,159.34122528901324,159.92390756825398,LEC
5,245.55589945902088,242.39644629783106,RAI
6,223.35817887919066,212.61564155151515,RAI
7,138.23458206710552,134.56510047807322,RAI
8,239.35812442666665,232.4188974857143,RAI
9,281.20312466666667,275.3505511220831,RAI
10,290.579167,285.20208484444447,RAI
11,147.7622485010101,148.40793505285873,LEC
12,226.91549570558718,218.31081194920634,RAI
13,276.4264700235294,267.6710778352941,RAI
14,259.31088112592596,275.618387621034,LEC
15,99.09876051585631,104.35559011762966,LEC
16,223.72465512795927,218.78789597460317,RAI
17,279.38749913333334,269.80588159999996,RAI
18,307.4790075733334,291.66249758603624,RAI
19,323.2680645985139,303.9263019333333,RAI
20,328.29531736380954,309.95166656000004,RAI
21,294.1463568,284.738031800148,RAI
22,152.61543743901692,151.28542627096775,RAI
23,238.99999859649122,234.120485724025,RAI
24,285.9264877883598,276.7171873333333,RAI
25,,288.820832,LEC
