Minisector,PIA,HUL,Fastest
0,301.2524158813096,302.70646268084056,HUL
1,199.62330036145858,210.02288482742858,HUL
2,236.03623348053333,232.14329946984626,PIA
3,279.9132611963709,277.6938724005037,PIA
4,238.31397577885224,246.6588488080507,HUL
5,129.66536719063325,123.55538451082768,PIA
6,223.15131240551764,210.09091072096567,PIA
7,268.9375859063102,258.9314287114487,PIA
8,252.5363116856543,256.88345166314576,HUL
9,250.1593874609072,235.08330440559672,PIA
10,280.17433708259745,278.24272117601305,PIA
11,295.01169942689495,298.1483107051712,HUL
12,305.02270921625393,309.6920246043944,HUL
13,309.6212120242424,313.4727857005714,HUL
14,308.41293866666666,313.28288269769695,HUL
15,270.678614040381,252.94018758523,PIA
16,253.32322842080785,240.4529711471746,PIA
17,283.46486187247166,280.5215215785682,PIA
18,294.40463902056825,296.548315415619,HUL
19,155.3005154443908,162.3855475375495,HUL
20,213.57391159586493,206.9110624367816,PIA
21,188.24514302205293,198.1635744028095,HUL
22,138.31533166975507,132.031882284127,PIA
23,238.12001956234218,232.54504370708995,PIA
24,284.21977788011844,281.6207776078603,PIA
25,,297.9999985777778,HUL
