Minisector,PER,NOR,Fastest
0,290.67744954761906,292.3000334307318,NOR
1,300.34682554920636,302.54592622336156,NOR
2,275.09607916596826,280.5598541021645,NOR
3,104.91190515627494,109.35800557305993,NOR
4,224.86916688894448,222.40560687114103,PER
5,270.37946480346324,272.6771638366874,NOR
6,215.10132475791355,219.53158755185953,NOR
7,168.17084227345552,166.88704640226774,PER
8,208.50221265985786,212.27803534385686,NOR
9,218.34284691809523,216.35399343809385,PER
10,118.5854996457008,116.70233724552385,PER
11,230.51684280041127,229.40574665119146,PER
12,124.04132959601965,117.72973345410622,PER
13,222.0150836682422,220.32252197022532,PER
14,271.54492749271395,275.4664224231044,NOR
15,224.3945464507864,232.13702509775237,NOR
16,194.83195413312714,191.19612054678493,PER
17,248.37142664410254,252.4989909029475,NOR
18,212.30179040545792,211.4428187928012,PER
19,183.22815342105085,180.76652702903633,PER
20,262.168676893372,263.31541715724865,NOR
21,288.95156959769116,289.76467057543687,NOR
22,172.19942459568787,175.54964165999476,NOR
23,210.41451025645932,204.5146839720018,PER
24,268.7730528806885,272.2841910498174,NOR
25,283.2083328,291.7071433142857,NOR
