Minisector,LEC,PER,Fastest
0,244.58050756079123,240.16259036428633,LEC
1,274.3050996065095,275.03391533968255,PER
2,177.31570608395793,179.461293781949,PER
3,163.08553536217426,156.52945310769073,LEC
4,256.4112827265651,256.851793707787,PER
5,265.9903984995904,274.2680750022777,PER
6,222.95360910197303,225.21335737574455,PER
7,205.3058414180405,197.73271688463717,LEC
8,158.34023582361914,154.39687966662902,LEC
9,214.17597473947612,213.13003543209788,LEC
10,270.1240573526837,269.76191307421396,LEC
11,117.70456601837603,119.05716170553414,PER
12,206.39747350831752,209.4636114111163,PER
13,268.7803976748052,272.3126180239234,PER
14,289.8003620001606,292.9419497469183,PER
15,298.0681156030075,301.6691820349863,PER
16,238.71728006912215,238.24089912172195,LEC
17,134.44313439345186,132.85791542762988,LEC
18,133.96525474855176,133.3579774515909,LEC
19,125.96158991075285,122.36284195959657,LEC
20,219.7570021936762,224.69935236436646,PER
21,252.0471511185185,253.9299442501613,PER
22,228.34791683583998,229.82812167055314,PER
23,208.336041874251,211.36013542839189,PER
24,136.17571481055944,138.4804922715876,PER
