Minisector,BOT,VER,Fastest
0,294.3113880096323,286.9958332121212,BOT
1,313.48004395789474,306.17144159819355,BOT
2,309.9727608231948,305.5532235013049,BOT
3,181.84126799375366,185.89131353490183,VER
4,225.85193052232702,220.6122469518622,BOT
5,207.61240642180513,207.86724097471264,VER
6,191.53593713310926,194.15823716127804,VER
7,216.44678134012648,211.00932898916255,BOT
8,260.1329391432434,257.31889354063594,BOT
9,258.12276183347655,268.0296460362932,VER
10,173.03516568152438,180.83024076855932,VER
11,243.18401292227267,240.33908088525806,BOT
12,116.96898852534514,119.78426852716036,VER
13,232.29307392042494,224.78445906737215,BOT
14,280.60284101818183,275.54247919185326,BOT
15,283.3627148066416,285.0868505974026,VER
16,202.80831247553365,215.59977957785762,VER
17,185.3456174401494,178.8524747352956,BOT
18,273.8160457606625,266.70658642890504,BOT
19,301.5174804837571,294.8891669561905,BOT
20,314.80630952380955,307.4418691929103,BOT
21,310.97184508190475,310.31624981333334,BOT
22,262.7469549938087,286.21694843826737,VER
23,118.83280271890143,119.89626161741968,VER
24,248.22396413833212,236.20757614641414,BOT
25,279.0500032,273.71666773333334,BOT
