Minisector,ANT,LEC,Fastest
0,306.09174600380953,307.6392123146667,LEC
1,312.8286011352381,316.90594258285716,LEC
2,298.1809896612139,303.3071726242226,LEC
3,179.6723162623164,181.95886505489503,LEC
4,226.89687787260695,217.93992359009525,ANT
5,198.812158021508,200.05998157997044,LEC
6,182.2029410157279,182.29012428732935,LEC
7,207.96349673860112,196.97786501641875,ANT
8,256.6155050989899,251.54707449308376,ANT
9,257.495726143569,261.4926638276923,LEC
10,176.67609989250582,178.80734259906518,LEC
11,234.0725669608602,228.71213501730122,ANT
12,127.6445121273051,125.69793607477983,ANT
13,237.99091774157571,235.27369762498552,ANT
14,279.42916684495236,280.5137200401884,LEC
15,275.2711866968116,276.7121575607267,LEC
16,209.24040290921408,214.82288883174962,LEC
17,190.5570478610364,192.11754680777779,LEC
18,288.13995046545455,285.6816151304175,ANT
19,317.2170246899577,318.76652838003696,LEC
20,316.3078732293333,323.43342133894737,LEC
21,291.5804927751045,304.01687082985774,LEC
22,257.84383255948853,281.7495834799808,LEC
23,124.92041083912055,120.28943010702271,ANT
24,251.71800647064373,240.97846041655453,ANT
25,,284.21388764444447,LEC
