Minisector,VER,SAI,Fastest
0,298.6266713405709,289.7887316785708,VER
1,240.8839929826581,245.6184971634568,SAI
2,130.60047894460192,130.11966502225917,VER
3,239.0675018225067,238.46545921325702,VER
4,192.2223718805054,188.53221871422443,VER
5,237.87943287085318,251.58824452022836,SAI
6,220.9324770080366,240.3418472592567,SAI
7,250.42341035205936,251.18105820927707,SAI
8,282.6522669186674,280.5749485221978,VER
9,215.76498980656524,205.53324418222172,VER
10,203.62311413760142,200.092534887092,VER
11,270.87286858666664,269.1676952423281,VER
12,210.85413676257008,209.8997900673251,VER
13,249.89667188802986,249.63238436606355,VER
14,291.65989098152136,287.5410026638961,VER
15,307.2516961701587,302.0952980888889,VER
16,313.66813267275336,302.1501043822222,VER
17,243.39580424314872,239.67186499176594,VER
18,261.7644590340663,266.7879756255414,SAI
19,296.69912076579675,292.7795788179434,VER
20,310.4394937303167,304.64229649093164,VER
21,312.10321017454544,302.06861735607504,VER
22,147.29671054863724,159.41301917114131,SAI
23,228.69244465277342,226.1938861584792,VER
24,285.07696361419914,279.1217143689684,VER
25,294.5374992,289.0,VER
