Minisector,LEC,TSU,Fastest
0,296.96066576311716,296.03729911688316,LEC
1,160.9238371303738,152.7535665187779,LEC
2,149.57116591895297,154.70311966230508,TSU
3,231.9778338631769,226.45655723377777,LEC
4,288.10557096347827,284.54078764517624,LEC
5,291.2338359205696,286.3447023572872,LEC
6,149.17574087566814,140.01209414307863,LEC
7,146.08247496639342,143.8482044928539,LEC
8,140.76210616935055,134.83705397671395,LEC
9,191.8540416541799,189.89849766518944,LEC
10,142.69292044828967,131.1865905763082,LEC
11,123.04699972797341,119.44179158430224,LEC
12,166.38077948322552,178.3252290200705,TSU
13,270.34707037965103,271.07183734533913,TSU
14,295.603351851719,291.2325366536613,LEC
15,149.90433068336463,141.6284462909943,LEC
16,197.6807614825563,198.2613056335999,TSU
17,174.01352267773703,178.07172067516618,TSU
18,271.80624783605595,274.73473016987265,TSU
19,297.64876665681516,295.6722353926197,LEC
20,311.94194501035906,309.88899413913833,LEC
21,319.21636905629316,318.4005783227211,LEC
22,324.0672299427651,320.9860903377778,LEC
23,326.5491072,323.16649659863947,LEC
24,327.2484617499944,323.4591311093457,LEC
