Minisector,PER,LEC,Fastest
0,250.63803089972313,256.4038407922548,LEC
1,128.70575894398368,129.92336391669207,LEC
2,257.54031985401554,259.1475721760661,LEC
3,297.80522379792586,301.6924892672736,LEC
4,295.85741710512474,302.7506746311111,LEC
5,304.7141858105983,309.29423416681135,LEC
6,310.01573959969863,313.65307274317576,LEC
7,310.2651707821906,310.957696243855,LEC
8,188.48116602081768,195.08256829828724,LEC
9,192.31042137657306,185.25155396014873,PER
10,187.45751190266375,186.81770288697064,PER
11,169.1812352451723,169.94275521624763,LEC
12,249.30527602333666,248.78469898336047,PER
13,270.2669237794264,272.96670059455784,LEC
14,272.1485861237732,274.5673170233869,LEC
15,271.610202799093,272.30113391873846,LEC
16,180.50124567609686,178.17768892348306,PER
17,177.98300647786624,187.54633830287236,LEC
18,231.9004931276551,231.59377100679401,PER
19,283.9648265358824,284.781381968393,LEC
20,305.90274386879406,308.16019209563234,LEC
21,313.87750630468133,315.9104922262271,LEC
22,315.06290749655676,313.35609167440487,PER
23,258.75953294863103,263.31002590364045,LEC
24,113.78669154201681,106.11248594030907,PER
25,,220.6666678857143,LEC
