Minisector,RUS,VER,Fastest
0,252.93487339094725,253.64186804970726,VER
1,212.15093334739927,209.1762366511224,RUS
2,205.63738735912833,205.9993291162748,VER
3,260.4435881762963,263.51021735607003,VER
4,277.0818237705544,279.60173202965495,VER
5,293.5728563603689,294.14241099330144,VER
6,144.69067538705139,136.67902107125977,RUS
7,184.83202445409813,202.4195979537415,VER
8,269.9447674404431,274.75452940398515,VER
9,296.3207416222671,299.7566661924849,VER
10,309.79682553416933,311.4649202983731,VER
11,307.14174030239604,303.82054352372313,RUS
12,103.79950480073958,105.80821143940284,VER
13,205.15852257568918,215.0862403550764,VER
14,273.16703636012835,275.82735344444444,VER
15,296.0422190178685,298.29277530903624,VER
16,293.8231641005614,293.09399631919194,RUS
17,181.2574252994163,181.46365616546998,VER
18,223.84374476894757,230.66174626230665,VER
19,271.27336959789193,270.7990084825397,RUS
20,137.14374772474122,137.18971850612826,VER
21,146.5597546466359,150.02357140008064,VER
22,230.25650420121212,233.55148553503497,VER
23,247.49690595258886,217.3713074470012,RUS
24,168.10630866965175,166.56922869202165,RUS
25,228.62857325714288,,RUS
