Minisector,LEC,BEA,Fastest
0,279.7316376421053,275.261686188176,LEC
1,120.3827322235722,125.72208120218143,BEA
2,162.20038947860317,163.4449149103705,BEA
3,198.12594367175345,198.73060192669874,BEA
4,157.51933904155842,158.49962993650013,BEA
5,228.64607764391053,229.704040660263,BEA
6,181.1606312165419,193.15219944936376,BEA
7,131.72416109518224,130.3720039807664,LEC
8,239.70822465561906,241.90376560561808,BEA
9,286.38572300273773,281.61996385753315,LEC
10,271.41016932712387,281.39013798701296,BEA
11,149.33315300628973,146.66172532704718,LEC
12,227.5131795474286,219.1273700418789,LEC
13,277.0468585057143,275.0953907062187,LEC
14,263.15023851797594,263.589161642567,BEA
15,102.18656710528893,99.59579985810667,LEC
16,230.37179136459332,226.92386363636362,LEC
17,293.2820027238095,286.43107049657766,LEC
18,322.6418849225927,309.7262275333333,LEC
19,334.4371180711111,309.9741567460317,LEC
20,331.6570392292571,302.62803292154194,LEC
21,284.54649134508895,271.25352464604265,LEC
22,149.70618521565657,154.52269796986275,BEA
23,238.80657676374335,234.63694718337663,LEC
24,297.43541684705883,278.7502536525974,LEC
25,311.0863639272727,282.0,LEC
