Minisector,VER,VET,Fastest
0,291.5421192389417,286.920921064149,VER
1,303.06282283318563,297.36136360044895,VER
2,308.19947701125545,303.1212745254902,VER
3,309.5580247308642,303.5928618105263,VER
4,204.03522786349205,186.65672332095238,VER
5,213.41766691294782,206.99047375582916,VER
6,264.6188975987586,262.50955067705627,VER
7,270.6604552290899,267.1915879258282,VER
8,191.95796896218744,186.31216763002269,VER
9,156.25803784534932,152.6998573093018,VER
10,186.10747599938696,174.4130189684769,VER
11,258.87895426053313,253.79950775178878,VER
12,253.865617442643,245.01775599455783,VER
13,230.91774928422362,216.11995699058167,VER
14,272.35922128269675,263.71288165002073,VER
15,164.69973681265225,171.45505761494874,VET
16,215.25850129628867,211.41367205134574,VER
17,241.53443641154325,237.57416521504956,VER
18,137.18489649543858,128.19750381768029,VER
19,237.17157252551112,231.88323448418492,VER
20,276.7473985077414,274.05766290418745,VER
21,246.36963471559284,243.88560961619606,VER
22,142.8267935401888,137.87056833957757,VER
23,213.0007978353131,196.91024043470298,VER
24,268.6408946303548,261.60196578982493,VER
25,282.47142765714284,278.6066480540819,VER
