Minisector,STR,PIA,Fastest
0,297.2372303470605,293.6617989802215,STR
1,209.34275672454513,214.0401143390891,PIA
2,225.11109243956042,228.02306866767955,PIA
3,275.33324595070707,272.03608177990606,STR
4,242.56484712695251,244.8587182567493,PIA
5,129.17466887174336,130.72351193444513,PIA
6,215.65743582419756,214.0267647127321,STR
7,260.36811526402346,260.17706691735015,STR
8,252.10431497281385,252.97666059682538,PIA
9,237.67274647390946,239.778093900448,PIA
10,274.525700429822,272.3948596491159,STR
11,291.64676226449757,286.6804777085714,STR
12,304.06505959619045,293.0143058488889,STR
13,314.1774967906878,296.73502660300295,STR
14,316.7339777134802,297.5307404173913,STR
15,261.4123943449205,264.04651786969123,PIA
16,246.96896094126984,249.32803833963393,PIA
17,282.3695129662467,274.83503836767676,STR
18,301.2618340092517,284.855777985253,STR
19,153.67748910685748,170.1427469058201,PIA
20,214.34081016648204,212.26412454216046,STR
21,190.04881638234014,201.8494259767429,PIA
22,140.43429446767678,134.02947058448717,STR
23,237.31282635497837,231.70734217531827,STR
24,278.5828581498182,277.85288644730946,STR
25,292.04,289.84000128,STR
