Minisector,HAM,MAG,Fastest
0,286.92916663703704,281.9173811657143,HAM
1,295.18137248627454,290.4846898519245,HAM
2,300.1868872,293.30753972486775,HAM
3,301.0091146666667,292.2379902117647,HAM
4,184.42901292698411,179.5689500743776,HAM
5,225.13787804444445,214.89254669648034,HAM
6,250.55080628569317,246.183875168,HAM
7,271.10839560501256,265.7535715689223,HAM
8,270.2859653459557,265.2649129543859,HAM
9,173.47032597107585,169.17517504435398,HAM
10,234.96196808366267,231.64124284081632,HAM
11,141.57976159346939,139.27182407162925,HAM
12,227.09900630780996,222.2769317106188,HAM
13,205.6113344,201.4695508102564,HAM
14,224.54303890909088,216.17069626924402,HAM
15,257.0882571364968,252.58806540190477,HAM
16,266.956049143404,262.76568235216814,HAM
17,284.95381496039164,279.97661997037034,HAM
18,139.84951914749035,134.28451292571364,HAM
19,170.35279015343943,162.92755257019968,HAM
20,155.4234929761905,147.28326776708334,HAM
21,174.93435805894126,173.24805451047203,HAM
22,123.11633478794833,117.53551697777777,HAM
23,226.9136896,218.90687417850668,HAM
24,268.64473667368424,263.8803830763648,HAM
25,,276.15,MAG
