Minisector,HAM,RAI,Fastest
0,294.3531891489079,313.01907957894736,RAI
1,207.04297003583358,193.59965575252576,HAM
2,230.92705841112416,222.98079035297556,HAM
3,275.16778266565143,280.8144388441911,RAI
4,230.3906457967113,238.06286888555226,RAI
5,128.3521059352471,120.8587595663986,HAM
6,215.51735263380945,205.74744379978625,HAM
7,260.30233910955945,255.6608636532054,HAM
8,207.97146448577183,201.43486076893367,HAM
9,207.70084494245674,205.48102794728763,HAM
10,265.06037910218254,266.60423881721323,RAI
11,214.49006526116082,204.72834970593948,HAM
12,183.00436221490932,170.3612431141812,HAM
13,261.4317746257148,261.5480229276631,RAI
14,281.2360319194027,286.72748232122126,RAI
15,264.4774304990999,260.4513585633142,HAM
16,247.35442374933837,243.24210106750658,HAM
17,274.9502535996356,282.4165334158789,RAI
18,285.99726450988516,305.9940713507969,RAI
19,180.4853997914001,166.79798621853706,HAM
20,214.06149306278317,198.7728775047706,HAM
21,171.19297318967816,167.64713850422564,HAM
22,145.75895741954264,136.30576238768097,HAM
23,243.90750748956887,240.51894531671417,HAM
24,282.2447900353243,291.32330086077366,RAI
25,,304.94029856449094,RAI
