Minisector,SAI,PIA,Fastest
0,296.4162728967282,301.2524158813096,PIA
1,225.25541896892562,199.9306628463978,SAI
2,231.49722370087113,237.24607654222223,PIA
3,276.64947153939397,279.9132611963709,PIA
4,251.6913992961401,238.31397577885224,SAI
5,128.65326448060287,130.6729724817552,PIA
6,214.4716939868783,225.19928375574753,PIA
7,265.4507171157098,269.7705988589899,PIA
8,250.98028906079847,250.88391656097582,SAI
9,244.09050787214068,251.15179758181637,PIA
10,279.56462858327694,281.3627989883761,PIA
11,294.62217380136053,295.9020482280791,PIA
12,301.617169824355,305.53168066733184,PIA
13,305.6434125172487,309.7876983873016,PIA
14,304.6947316519529,307.71125008,PIA
15,257.9816441139231,266.3627806537143,PIA
16,247.08574627885386,254.58800648664007,PIA
17,280.78596909189645,284.0256049980952,PIA
18,292.6829165155556,292.10615865255056,SAI
19,165.3111291536853,146.20487548888988,SAI
20,212.776448708673,216.40438281472015,PIA
21,182.96245796669012,167.6595578233168,SAI
22,142.99189226324395,152.24822911636375,PIA
23,243.27237547329193,245.2297657107731,PIA
24,283.9871151912156,285.65004596013245,PIA
