Minisector,ALO,STR,Fastest
0,275.1022994048707,273.26289717772005,ALO
1,114.45186603997855,119.04683747585199,STR
2,148.6242717217094,154.86025910710902,STR
3,204.77714040543367,207.04113251335173,STR
4,158.94333185907072,155.55394438398636,ALO
5,237.10043335928222,237.96740336922304,STR
6,225.88925556363637,203.7163992886019,ALO
7,129.336707397563,134.88411946145,STR
8,224.12799862615876,224.9709802213654,STR
9,273.6781810439493,270.3038985930159,ALO
10,281.7950220250794,266.7776591522485,ALO
11,141.63080830674699,135.88864818741362,ALO
12,206.81169532919256,216.8895668647619,STR
13,262.0258548619549,265.2644373688889,STR
14,258.7427513742222,252.78859617363406,ALO
15,98.20593139417528,99.27467617863834,STR
16,204.24532895809523,220.17235837018634,STR
17,266.8494507980529,269.88245369644,STR
18,296.51870157164024,290.20718547324674,ALO
19,314.3214377270729,301.6810536507597,ALO
20,323.3259738285714,309.0017440511489,ALO
21,295.73014253291007,254.06241179797976,ALO
22,141.86780022101536,140.0746565024198,ALO
23,229.16987351198878,231.83720802878304,STR
24,278.71467481766234,274.6513842478153,ALO
25,291.29545425454546,,ALO
