Minisector,HAM,STR,Fastest
0,289.0516921924515,287.676326624462,HAM
1,289.7939480177778,289.9052789683185,STR
2,160.1207960850315,166.58317829111544,STR
3,219.25313897243637,220.24834233101146,STR
4,271.22142415407404,271.4301691729323,STR
5,292.53022504296297,293.0726309213986,STR
6,301.0016667022222,299.8572374886181,HAM
7,161.72813018585705,177.86687964313285,STR
8,131.05106429825244,129.03451965055845,HAM
9,250.99534183783823,248.57821534901154,HAM
10,282.9487032311512,282.39711597755434,HAM
11,290.12868206248197,288.90420385238093,HAM
12,145.25283089704124,145.68384510099568,STR
13,191.05826334144004,200.10551773703705,STR
14,254.13159464575165,256.04264680530866,STR
15,206.70119401086419,207.2102084863657,STR
16,210.76256387959,220.4595417801719,STR
17,209.82101178778473,213.0978494857143,STR
18,243.48575605094183,243.80331547619048,STR
19,277.65112085333334,276.84868942576105,HAM
20,294.7752436112747,291.7186763545098,HAM
21,259.05722756303993,260.52811255411257,STR
22,218.6102797357661,223.56683537716034,STR
23,203.90664810497353,202.25346402328043,HAM
24,262.5132421055479,261.6001465271481,HAM
25,279.34285714285716,,HAM
