Minisector,VER,HAM,Fastest
0,298.6698245392761,297.9386930897697,VER
1,196.18652925802084,191.11028546739345,VER
2,224.5127634569121,221.35117552346784,VER
3,273.8745637001698,276.05022408310185,HAM
4,247.6850655730032,230.233514414499,VER
5,127.49866052326523,126.09223347925712,VER
6,206.5330985210628,201.34776556037002,VER
7,249.9807471236175,239.28982662067978,VER
8,231.01889898923767,229.21459673402526,VER
9,225.02026225574969,214.74151821527767,VER
10,273.30414043484734,272.4264875136734,VER
11,290.03887109360693,290.30680836643097,HAM
12,298.6496419390391,302.9741386858198,HAM
13,300.33111669043205,317.31053087868435,HAM
14,302.06294896036724,320.2577988932796,HAM
15,234.49015967189877,255.58069805194808,HAM
16,228.94513377390032,228.9253464103058,VER
17,273.79664137677906,281.9499801799073,HAM
18,289.93467337038976,300.782497233832,HAM
19,144.59583781642175,147.66199936993627,HAM
20,210.77976598785898,200.36610140881106,VER
21,173.3356025987018,176.9254340417049,HAM
22,146.84242886207275,126.18014546618755,VER
23,242.1764317543425,233.64448901871813,VER
24,284.56654563754523,294.74140085766953,HAM
25,,314.28928502857144,HAM
