Minisector,HAM,KVY,Fastest
0,297.0517049212121,305.60086992856026,KVY
1,321.8294579307463,331.9849206349206,KVY
2,316.12229106285713,323.66804511278195,KVY
3,191.10547381464448,180.94011213796472,HAM
4,229.0230543648352,218.34788745239126,HAM
5,217.80580552494845,205.12456364698411,HAM
6,204.53526908254895,192.57156957469073,HAM
7,220.65184345989772,214.38517325660462,HAM
8,258.6018336609524,254.82112542199957,HAM
9,264.33685604489574,258.86885323887867,HAM
10,182.29815638715493,175.6578495059228,HAM
11,244.1397233446129,242.25138899753088,HAM
12,126.99151955896353,117.56066273039323,HAM
13,232.24578077851038,231.20773828106107,HAM
14,274.8036536571644,274.3095668415757,HAM
15,284.95802269813663,280.283531784127,HAM
16,214.26938991379402,212.07082901939674,HAM
17,194.0275018969407,189.24983742617377,HAM
18,271.7413524009319,273.2214285714286,KVY
19,295.4202001277979,296.8326150020333,KVY
20,307.65875008,308.152256541633,KVY
21,308.48583326476194,308.7525,KVY
22,261.3184014222222,267.3497039051735,KVY
23,124.15553860835739,118.3415201293215,HAM
24,248.34246898390788,244.26941945396825,HAM
25,277.7000021333333,276.88124960000005,HAM
