Minisector,GAS,KVY,Fastest
0,260.07992682041584,270.5763802486683,KVY
1,133.8301186252415,130.5518698025251,GAS
2,198.24884321185183,198.44529013156335,KVY
3,244.80516626694364,246.2715849681681,KVY
4,260.92454875930446,259.18795098833147,GAS
5,183.5162043280922,176.52248863668623,GAS
6,151.03673660301402,146.5190663398858,GAS
7,189.5786625954246,182.62852812571225,GAS
8,106.51034093675575,101.6960107736629,GAS
9,77.5245081030543,72.67782985544258,GAS
10,97.53906338288995,93.14577890863053,GAS
11,185.53902081204464,182.0240939306083,GAS
12,244.1138521943801,244.70265481722095,KVY
13,265.67684840869475,269.189131928469,KVY
14,278.56726919797387,277.64869599880427,GAS
15,121.10980029274215,110.5554048469532,GAS
16,149.27762160313432,151.1385169056267,KVY
17,189.64868429473685,185.2757972304398,GAS
18,197.51080442300386,198.68340246326136,KVY
19,208.84366908545542,208.51255232340867,GAS
20,137.29074335196464,132.4146512609994,GAS
21,116.73430009413923,106.83705607200882,GAS
22,98.29407290187433,97.03994511241014,GAS
23,196.70968616240782,199.91218340004917,KVY
24,248.40126762325812,250.5750869857507,KVY
25,261.23333333333335,,GAS
