Minisector,HAM,HAD,Fastest
0,327.45466000761905,322.7088282828283,HAM
1,335.65543864140346,334.69601850158733,HAM
2,333.41734562735934,335.95399117754386,HAD
3,201.76056325304663,191.87567585467372,HAM
4,135.5537391527976,124.48547800248765,HAM
5,266.2515983873016,266.34734963776424,HAD
6,306.0644473687958,303.1939855072464,HAM
7,320.1617011897744,317.5105302143576,HAM
8,287.25791189487603,253.4747427476738,HAM
9,146.50584407608085,146.48468807831347,HAM
10,230.56296510134453,220.91486655320628,HAM
11,228.2531019971093,230.8757550532702,HAD
12,206.89643075182465,205.68183128751062,HAM
13,274.9590019046404,275.7092947330447,HAD
14,309.1986581071459,311.26333802066205,HAD
15,322.73335530224347,324.4521108570865,HAD
16,270.4157812421534,251.51550963555553,HAM
17,217.91693093740258,225.86543596326817,HAD
18,280.3041684244106,282.88193650771564,HAD
19,313.3166265496198,313.6736131316455,HAD
20,325.4816770385093,324.81203703703704,HAM
21,310.6745985601854,283.669982940233,HAM
22,218.01627038203597,214.6737926243348,HAM
23,274.01285857548976,272.95412669168195,HAM
24,309.85291583676184,308.460620597595,HAM
