Minisector,NOR,HAM,Fastest
0,280.5898864724647,281.8659765127806,HAM
1,299.5082559284472,297.50035806653966,NOR
2,301.2745289524436,291.1137230766497,NOR
3,179.67135219064807,181.9560087941764,HAM
4,218.3119955638871,219.44310696734695,HAM
5,204.44640970445832,207.49047500617553,HAM
6,179.7910635842735,186.37386419332995,HAM
7,202.40818193864266,212.95958200123434,HAM
8,255.40327784910053,260.8571828083628,HAM
9,264.6596008100251,271.3704650811415,HAM
10,164.16567306181446,166.8462627707519,HAM
11,236.80979446693877,238.38902462330228,HAM
12,115.24354223003529,115.66679386385859,HAM
13,223.2792254873623,220.89795221531057,NOR
14,277.3593518412121,274.3346512037613,NOR
15,292.5151055704924,293.49837596671125,HAM
16,210.40125124644496,215.31005584988938,HAM
17,185.92517816708659,190.7528414447392,HAM
18,268.03966828753624,263.6374246185538,NOR
19,292.13974352352193,290.87657738299595,NOR
20,303.6783896786092,301.35137321469387,NOR
21,305.14607906086957,299.85038506061983,NOR
22,270.00318520857144,259.0888181054121,NOR
23,113.43018195119495,120.05682022087602,HAM
24,231.35695331141682,235.8897872347922,HAM
25,265.8071442285714,267.95624799999996,HAM
