Minisector,PER,TSU,Fastest
0,306.91494789666666,306.9885965810526,TSU
1,243.68937460690427,234.31224192154588,PER
2,127.37278539247166,128.95103174028404,TSU
3,215.6020430442612,216.4566400585231,TSU
4,259.7549222518822,260.01050632352735,TSU
5,291.4814072927731,285.6314157348122,PER
6,311.78066309224494,298.72029799757576,PER
7,269.4442013917983,274.68601471525926,TSU
8,167.84917844848482,161.8096317847311,PER
9,239.84488911221706,233.7608911481179,PER
10,267.04610419208024,269.5910808762427,TSU
11,258.4062220287834,263.81782258370373,TSU
12,203.17070102534214,210.94315209333334,TSU
13,122.85652168089966,131.7490613161887,TSU
14,123.96167388767053,119.35570541860427,PER
15,161.92947776389633,163.9274396246712,TSU
16,119.4324664391619,114.77093810107135,PER
17,224.72481230973085,222.87153396302355,PER
18,158.21220611834394,185.68203521304804,TSU
19,153.72603798797886,148.26370946800546,PER
20,241.6017477682055,239.54823524774602,PER
21,273.0812134081871,268.4735124552381,PER
22,292.6138348487089,285.66687144454926,PER
23,310.43825375492065,295.3570140942222,PER
24,320.6581885308552,300.8818813753535,PER
25,324.0,303.0,PER
