Minisector,VER,HUL,Fastest
0,272.54683324266665,270.11302062459697,VER
1,245.51750954550843,241.63537198466864,VER
2,117.95407132223019,117.53979627362702,VER
3,176.5303038709841,174.37055494027513,VER
4,194.89585598817084,194.27273837440006,VER
5,198.8609649721039,195.51223712018142,VER
6,264.33602710857144,265.36269408338717,HUL
7,286.5288562154882,287.77616896277056,HUL
8,235.4076778359977,247.33455315837048,HUL
9,155.3551703658558,145.08997856582022,VER
10,120.65127033013033,115.23558019429636,VER
11,149.59767969536065,148.88886415729453,VER
12,242.95725892155843,241.23297210217788,VER
13,143.85779134490426,158.09391923915126,HUL
14,154.3319458190556,139.14317633039988,VER
15,107.6880779764918,106.70957656178902,VER
16,220.17391727511026,211.668875456,VER
17,229.682646236965,251.26817253463892,HUL
18,128.3000271421852,122.75763261701425,VER
19,239.8435268227119,234.1207100931403,VER
20,274.28488117769786,275.32550654230727,HUL
21,200.36580546156202,215.385456476572,HUL
22,154.55877061873497,141.35696319751608,VER
23,218.67378252493654,218.21968833132547,VER
24,230.35533696202253,216.8573024346592,VER
25,,253.84642651428572,HUL
