Minisector,SAI,RUS,Fastest
0,287.68332745295237,280.03725054839003,SAI
1,164.10221203665273,150.00580410233198,SAI
2,176.99879565575594,179.39569966389962,RUS
3,253.50535279490413,249.77236125102368,SAI
4,281.8154985606096,280.7466079344427,SAI
5,247.25888754867722,243.70847859938715,SAI
6,227.01457553782404,225.88809458637587,SAI
7,155.84563878098334,158.07927347466665,RUS
8,233.47304221787886,232.32851530793653,SAI
9,280.50859950217824,279.7053844125888,SAI
10,297.5777231494737,297.36239737797956,SAI
11,305.4610937066667,304.58052450865677,SAI
12,309.8759905311943,307.30341539954657,SAI
13,308.08779382974797,296.6993307498565,SAI
14,132.01654120345805,129.53915239632863,SAI
15,119.58534089762853,118.88143157708991,SAI
16,97.6234500858492,98.87773945729802,RUS
17,234.38973711445888,233.11334137479793,SAI
18,284.83169377121897,286.2626267230839,RUS
19,302.7515185802554,301.9602082222222,SAI
20,312.1134137236424,309.73048030427265,SAI
21,316.15473258382156,307.7497374840738,SAI
22,116.89056903823256,130.28442150242543,RUS
23,201.53788571146384,202.00012573865953,RUS
24,265.19743611791796,265.7464693775007,RUS
25,281.4,279.06428525714284,SAI
