Minisector,NOR,LIN,Fastest
0,292.45572067927134,159.71966956235295,NOR
1,312.4125,128.5070636498615,NOR
2,326.65256418461536,159.85047431920486,NOR
3,335.1671849196639,206.7081477688889,NOR
4,337.7085714285714,212.56997754318786,NOR
5,314.43352255584415,132.06575783939297,NOR
6,220.30076098228955,115.20617001263159,NOR
7,103.94505097142857,166.47196966464648,LIN
8,101.93294131814159,153.81500039203462,LIN
9,199.5208016227343,145.3113603137255,NOR
10,238.4748018285714,137.60665891764705,NOR
11,263.52751893172933,156.54013057656564,NOR
12,261.9262464242955,202.41083746995074,NOR
13,165.49720396087827,241.16802879822922,LIN
14,114.2168351847619,248.17102265050505,LIN
15,134.32363141333332,201.13854999821243,LIN
16,202.8448888888889,199.99278362778412,NOR
17,233.36440222608698,225.8695652173913,NOR
18,239.03148157037037,261.45608452063493,LIN
19,219.20671817333334,267.12942782693875,LIN
20,209.82440664565658,204.34344647314288,NOR
21,244.27493089777778,130.8444124235294,NOR
22,259.29453128,,NOR
23,263.49901711383217,,NOR
24,180.06720978962963,,NOR
