Minisector,PER,BOT,Fastest
0,289.5539568664953,291.7408331073016,BOT
1,297.9581348368254,300.9214582577778,BOT
2,302.2332421853109,308.04222236444446,BOT
3,303.295312647619,303.85576974065935,BOT
4,200.4455977928109,201.3498621104204,BOT
5,101.5643731168753,102.13649629429489,BOT
6,203.3904619950357,206.74039930655147,BOT
7,255.22438495002226,257.92934400174573,BOT
8,279.7882814,282.2393645003175,BOT
9,287.21889062603174,293.1158340266667,BOT
10,153.3325166941004,152.16643479450215,PER
11,172.69594438446137,178.94710010434784,BOT
12,242.59756753983842,240.173012255087,PER
13,236.26018471111112,238.69128561827677,BOT
14,154.0106942408528,155.6304603586207,BOT
15,218.3720715355434,210.68690710448246,PER
16,261.52708378095235,259.4982832761905,PER
17,281.2686844309294,281.3236976,BOT
18,292.0681429648743,292.8140578627378,BOT
19,294.9050001066667,299.844539790821,BOT
20,280.8477772088889,282.02198804761906,BOT
21,154.92553949504662,151.46956645485218,PER
22,208.9902780952381,212.40443288380953,BOT
23,257.46789388649677,257.3571423809524,PER
24,280.53102670476187,279.68086751544206,PER
