Minisector,MSC,ALO,Fastest
0,295.54921399602216,295.8994227191043,ALO
1,307.10966698666664,298.3514663736381,MSC
2,164.89709396651637,155.3504208434062,MSC
3,218.1909563541657,222.29586161668135,ALO
4,269.3173331254344,279.00680290786136,ALO
5,286.9977777840506,305.7836338474088,ALO
6,293.9221727238095,308.57407327035315,ALO
7,184.1704507923106,163.7349386962671,MSC
8,121.28425614990188,128.09327924673136,ALO
9,244.9748872292641,247.65566841102248,ALO
10,281.28067440169315,281.07675487139056,MSC
11,288.54445367395243,289.179414615873,ALO
12,145.60824748685448,150.92265852015817,ALO
13,191.54982440774972,197.60697209597575,ALO
14,252.537039475492,250.69713448605705,MSC
15,194.30495893583517,205.75095931234026,ALO
16,211.43727983525812,218.89808513679318,ALO
17,207.5214516998347,209.3926110635339,ALO
18,234.57592665881893,241.90242328067228,ALO
19,271.58198755416726,273.4566296926984,ALO
20,287.8344293652525,285.04082641344536,MSC
21,254.18200632800784,256.4358393343606,ALO
22,217.82775009170462,222.74809621638096,ALO
23,198.5096793441861,211.51998088628483,ALO
24,260.56818575037596,263.3420283584786,ALO
25,278.5,,MSC
