Minisector,VER,ANT,Fastest
0,288.68017515391284,287.8455873990885,VER
1,305.94184450569105,307.59873129382134,ANT
2,309.8872785603628,310.6903179100621,ANT
3,198.8235196555884,199.38028718549924,ANT
4,235.23910436658687,234.02679595187004,VER
5,226.421482400057,222.34568332115458,VER
6,209.84272314712481,203.20723686549536,VER
7,237.32293833120625,232.36233810536262,VER
8,272.260378195671,271.09511154925076,VER
9,275.78073869765086,275.9234967054545,ANT
10,174.1701330376568,177.58565969895693,ANT
11,240.72052317836224,240.12661491595736,VER
12,117.48098553754957,112.94473279145191,VER
13,226.48933943159267,227.9776176942139,ANT
14,278.9621494350914,279.49020273833025,ANT
15,293.0825899873621,293.24870765327285,ANT
16,222.5789007210604,215.23328696887856,VER
17,186.7039610511123,194.3142190247829,ANT
18,268.41209670342414,271.0258852369801,ANT
19,293.7964999953168,296.01374966857145,ANT
20,305.2087712879184,307.70140678377936,ANT
21,306.4350172844444,305.7652679379592,VER
22,267.8352994813473,268.70396020132637,ANT
23,116.76530054434669,122.52135786930641,ANT
24,243.45726233913996,249.27841791085714,ANT
