Minisector,LEC,HUL,Fastest
0,295.2349758139858,292.1959597286771,LEC
1,202.10764085795222,198.5091798115909,LEC
2,228.77390767266456,221.55987782288997,LEC
3,276.1194706966263,271.6564498069684,LEC
4,243.07551361328677,232.77420586073174,LEC
5,125.91072440038141,122.75950430797089,LEC
6,208.40101092241028,206.46581038153892,LEC
7,258.396921409573,254.2009144158749,LEC
8,210.04879670380913,205.71017457882826,LEC
9,209.550523409122,206.1436891389674,LEC
10,267.98456512448007,262.9149570699043,LEC
11,211.22789360113123,209.30088898550306,LEC
12,176.25726337110865,175.09536209558155,LEC
13,262.45254098753054,259.11818962055696,LEC
14,281.4165457955268,280.9173233749992,LEC
15,254.9897580163798,257.90736051154414,HUL
16,238.7824829111365,234.77297402820074,LEC
17,271.6266030829787,270.48198891693147,LEC
18,284.7560909411382,284.4866250412815,LEC
19,180.32284073287843,170.54996588734954,LEC
20,212.4124651693499,209.96378945262495,LEC
21,179.08082061388777,168.39005315601264,LEC
22,141.49072188691954,141.11880482023128,LEC
23,239.98636635000616,238.13760936121764,LEC
24,282.38924623370133,279.2799709194795,LEC
